taxa	samplingDate	samplingCountry
hCoV-19/Belgium/rega-0502481/2020|EPI_ISL_476997|Belgium|2020-05-02	2020.3333333333333	Belgium
hCoV-19/Belgium/rega-0502482/2020|EPI_ISL_476998|Belgium|2020-05-02	2020.3333333333333	Belgium
hCoV-19/Belgium/rega-0503483/2020|EPI_ISL_476999|Belgium|2020-05-03	2020.3360655737704	Belgium
hCoV-19/Belgium/rega-0505428/2020|EPI_ISL_477001|Belgium|2020-05-05	2020.3415300546449	Belgium
hCoV-19/Belgium/rega-0505485/2020|EPI_ISL_477002|Belgium|2020-05-05	2020.3415300546449	Belgium
hCoV-19/Belgium/rega-0506487/2020|EPI_ISL_477004|Belgium|2020-05-06	2020.344262295082	Belgium
hCoV-19/Belgium/rega-0507488/2020|EPI_ISL_477005|Belgium|2020-05-07	2020.3469945355191	Belgium
hCoV-19/Belgium/ITM_C2184_2/2020|EPI_ISL_487432|Belgium|2020-06-02	2020.4180327868853	Belgium
hCoV-19/Belgium/ULG-10200/2020|EPI_ISL_471435|Belgium|2020-05-23	2020.3907103825136	Belgium
hCoV-19/Belgium/ULG-10229/2020|EPI_ISL_498135|Belgium|2020-05-16	2020.3715846994535	Belgium
hCoV-19/Belgium/ULG-10232/2020|EPI_ISL_498138|Belgium|2020-05-16	2020.3715846994535	Belgium
hCoV-19/Belgium/ULG-10234/2020|EPI_ISL_498140|Belgium|2020-06-18	2020.4617486338798	Belgium
hCoV-19/Belgium/ULG-10235/2020|EPI_ISL_498141|Belgium|2020-06-23	2020.4754098360656	Belgium
hCoV-19/Belgium/ULG-10236/2020|EPI_ISL_498142|Belgium|2020-06-26	2020.483606557377	Belgium
hCoV-19/Belgium/ULG-10237/2020|EPI_ISL_498143|Belgium|2020-06-26	2020.483606557377	Belgium
hCoV-19/Belgium/ULG-10238/2020|EPI_ISL_498144|Belgium|2020-06-26	2020.483606557377	Belgium
hCoV-19/Belgium/ULG-10240/2020|EPI_ISL_498146|Belgium|2020-06-30	2020.4945355191257	Belgium
hCoV-19/Belgium/ULG-10242/2020|EPI_ISL_498148|Belgium|2020-06-30	2020.4945355191257	Belgium
hCoV-19/Belgium/ULG-10243/2020|EPI_ISL_498149|Belgium|2020-07-03	2020.5027322404371	Belgium
hCoV-19/Belgium/ULG-10466/2020|EPI_ISL_581576|Belgium|2020-08-31	2020.6639344262296	Belgium
hCoV-19/Belgium/ULG-10452/2020|EPI_ISL_581577|Belgium|2020-08-26	2020.6502732240438	Belgium
hCoV-19/Belgium/ULG-10459/2020|EPI_ISL_581581|Belgium|2020-08-28	2020.655737704918	Belgium
hCoV-19/Belgium/ULG-10491/2020|EPI_ISL_581582|Belgium|2020-09-23	2020.7267759562842	Belgium
hCoV-19/Belgium/ULG-10481/2020|EPI_ISL_581590|Belgium|2020-09-23	2020.7267759562842	Belgium
hCoV-19/Belgium/ULG-10414/2020|EPI_ISL_581596|Belgium|2020-08-14	2020.6174863387978	Belgium
hCoV-19/Belgium/SH-03014/2020|EPI_ISL_415156|Belgium|2020-03-01	2020.1639344262296	Belgium
hCoV-19/Belgium/ULG-10158/2020|EPI_ISL_447153|Belgium|2020-04-18	2020.295081967213	Belgium
hCoV-19/Belgium/Rega-0320258/2020|EPI_ISL_458228|Belgium|2020-03-20	2020.2158469945355	Belgium
hCoV-19/Belgium/ULG-10193/2020|EPI_ISL_471428|Belgium|2020-05-20	2020.3825136612022	Belgium
hCoV-19/Belgium/ULG-10194/2020|EPI_ISL_471429|Belgium|2020-05-20	2020.3825136612022	Belgium
hCoV-19/Belgium/ULG-10195/2020|EPI_ISL_471430|Belgium|2020-05-18	2020.377049180328	Belgium
hCoV-19/Belgium/ULG-10196/2020|EPI_ISL_471431|Belgium|2020-05-28	2020.4043715846994	Belgium
hCoV-19/Belgium/ULG-10197/2020|EPI_ISL_471432|Belgium|2020-05-27	2020.4016393442623	Belgium
hCoV-19/Belgium/ULG-10199/2020|EPI_ISL_471434|Belgium|2020-05-22	2020.3879781420765	Belgium
hCoV-19/Belgium/ULG-10202/2020|EPI_ISL_471436|Belgium|2020-05-23	2020.3907103825136	Belgium
hCoV-19/Belgium/ULG-10203/2020|EPI_ISL_471437|Belgium|2020-05-23	2020.3907103825136	Belgium
hCoV-19/Belgium/rega-0411466/2020|EPI_ISL_476976|Belgium|2020-04-11	2020.275956284153	Belgium
hCoV-19/Belgium/QKJ-03015/2020|EPI_ISL_415158|Belgium|2020-03-01	2020.1639344262296	Belgium
hCoV-19/Belgium/rega-0411456/2020|EPI_ISL_476966|Belgium|2020-04-11	2020.275956284153	Belgium
hCoV-19/Belgium/rega-0411465/2020|EPI_ISL_476975|Belgium|2020-04-11	2020.275956284153	Belgium
hCoV-19/Belgium/rega-0411469/2020|EPI_ISL_476979|Belgium|2020-04-11	2020.275956284153	Belgium
hCoV-19/Belgium/Rega-0329217/2020|EPI_ISL_458187|Belgium|2020-03-29	2020.24043715847	Belgium
hCoV-19/Belgium/rega-0414476/2020|EPI_ISL_476986|Belgium|2020-04-14	2020.2841530054645	Belgium
hCoV-19/Belgium/rega-0414477/2020|EPI_ISL_476987|Belgium|2020-04-14	2020.2841530054645	Belgium
hCoV-19/Belgium/rega-0414478/2020|EPI_ISL_476988|Belgium|2020-04-14	2020.2841530054645	Belgium
hCoV-19/Belgium/rega-0421423/2020|EPI_ISL_476991|Belgium|2020-04-21	2020.3032786885246	Belgium
hCoV-19/Belgium/rega-0427424/2020|EPI_ISL_476992|Belgium|2020-04-27	2020.3196721311476	Belgium
